review_case_id,example_id,method,suggested_category,configuration_id
FR-47114F1A,AMAT/2014/page_35.pdf-1,soft_prefix_bias_1,ranking_or_selection_error,4c6099853873
FR-1FD78C19,AMT/2010/page_34.pdf-2,soft_prefix_bias_10,constraint_escape_or_unsupported_answer,4c6099853873
FR-A600BEC4,BKR/2017/page_103.pdf-2,candidate_menu_prompt,candidate_recall_failure,4c6099853873
FR-D8A1079C,ABMD/2007/page_52.pdf-3,soft_prefix_bias_3,ranking_or_selection_error,4c6099853873
FR-ADD7517F,APD/2013/page_32.pdf-1,posthoc_verifier,ranking_or_selection_error,4c6099853873
FR-F94FA71A,GS/2017/page_106.pdf-4,candidate_menu_prompt,invalid_or_fragmentary_response,4c6099853873
FR-B8A15773,APTV/2014/page_49.pdf-3,soft_prefix_bias_10,candidate_recall_failure,4c6099853873
FR-292E6EC0,DRE/2009/page_72.pdf-2,derivation_proof_lock,candidate_recall_failure,4c6099853873
FR-9CB7DFD8,BLK/2013/page_124.pdf-2,soft_prefix_bias_1,candidate_recall_failure,4c6099853873
FR-55FF9326,L/2015/page_59.pdf-1,posthoc_verifier,candidate_recall_failure,4c6099853873
FR-48A679C2,ETFC/2011/page_82.pdf-2,fragment_token_lock_ablation,candidate_recall_failure,4c6099853873
FR-AE3E2CC4,ETR/2002/page_86.pdf-2,soft_prefix_bias_5,retrieval_or_candidate_recall_failure,4c6099853873
FR-3E2C615C,ETR/2011/page_341.pdf-3,derivation_proof_lock,over_refusal_or_selection_uncertainty,4c6099853873
FR-9C526886,AMT/2005/page_85.pdf-1,risk_controlled_proof_lock,ranking_or_selection_error,4c6099853873
FR-EDBDDDB0,APTV/2014/page_49.pdf-2,posthoc_verifier,over_refusal_or_selection_uncertainty,4c6099853873
FR-7954CF73,ILMN/2007/page_78.pdf-2,derivation_proof_lock,ranking_or_selection_error,4c6099853873
FR-40FAEC40,C/2017/page_328.pdf-3,risk_controlled_proof_lock,retrieval_or_candidate_recall_failure,4c6099853873
FR-DD318C12,AMT/2012/page_125.pdf-2,baseline,candidate_recall_failure,4c6099853873
FR-ABC66A6A,IPG/2008/page_62.pdf-4,risk_controlled_proof_lock,ranking_or_selection_error,4c6099853873
FR-E7381ADF,CB/2010/page_200.pdf-3,direct_proof_lock,candidate_recall_failure,4c6099853873
FR-C4B9E978,SNA/2012/page_33.pdf-2,provenance_prompt,ranking_or_selection_error,4c6099853873
FR-9AFFEF93,GS/2013/page_152.pdf-3,soft_prefix_bias_1,retrieval_or_candidate_recall_failure,4c6099853873
FR-B0B72B7E,SYY/2019/page_9.pdf-1,provenance_prompt,over_refusal_or_selection_uncertainty,4c6099853873
FR-E9DE1307,INTC/2013/page_29.pdf-3,derivation_proof_lock,ranking_or_selection_error,4c6099853873
FR-DB04728B,UNP/2013/page_44.pdf-2,soft_prefix_bias_1,invalid_or_fragmentary_response,4c6099853873
FR-8C1D98B3,GS/2012/page_165.pdf-1,derivation_proof_lock,ranking_or_selection_error,4c6099853873
