method_a,method_b,outcome,paired_examples,a_only,b_only,p_value,method_minus_baseline_difference,difference_ci_low,difference_ci_high
baseline,candidate_menu_prompt,numeric_exact_match,871,4,1,0.375,-0.003444316877152698,-0.009184845005740528,0.001148105625717566
baseline,candidate_menu_prompt,unsupported_complete_answer,871,38,36,0.9075606176124984,-0.002296211251435132,-0.021814006888633754,0.01722158438576349
baseline,derivation_proof_lock,numeric_exact_match,871,4,4,1.0,0.0,-0.005769230769230768,0.006888633754305396
baseline,derivation_proof_lock,unsupported_complete_answer,871,46,0,2.842170943040401e-14,-0.05281285878300804,-0.06776693455797933,-0.03788748564867968
baseline,direct_proof_lock,numeric_exact_match,871,4,7,0.548828125,0.003444316877152698,-0.003444316877152698,0.011481056257175661
baseline,direct_proof_lock,unsupported_complete_answer,871,46,0,2.842170943040401e-14,-0.05281285878300804,-0.06776693455797933,-0.03788748564867968
baseline,fragment_token_lock_ablation,numeric_exact_match,871,3,3,1.0,0.0,-0.0057405281285878304,0.0057405281285878304
baseline,fragment_token_lock_ablation,unsupported_complete_answer,871,36,82,2.7583788780912003e-05,0.05281285878300804,0.02982204362801378,0.07692307692307693
baseline,posthoc_verifier,numeric_exact_match,871,1,0,1.0,-0.001148105625717566,-0.003444316877152698,0.0
baseline,posthoc_verifier,unsupported_complete_answer,871,46,0,2.842170943040401e-14,-0.05281285878300804,-0.06776693455797933,-0.03788748564867968
baseline,provenance_prompt,numeric_exact_match,871,4,1,0.375,-0.003444316877152698,-0.009184845005740528,0.001148105625717566
baseline,provenance_prompt,unsupported_complete_answer,871,38,36,0.9075606176124984,-0.002296211251435132,-0.021814006888633754,0.01722158438576349
baseline,risk_controlled_proof_lock,numeric_exact_match,871,4,11,0.11846923828124999,0.008036739380022962,0.0,0.01722158438576349
baseline,risk_controlled_proof_lock,unsupported_complete_answer,871,46,0,2.842170943040401e-14,-0.05281285878300804,-0.06776693455797933,-0.03788748564867968
baseline,selector_guided_proof_lock,numeric_exact_match,871,4,12,0.076812744140625,0.009184845005740528,0.001148105625717566,0.018369690011481057
baseline,selector_guided_proof_lock,unsupported_complete_answer,871,46,0,2.842170943040401e-14,-0.05281285878300804,-0.06776693455797933,-0.03788748564867968
baseline,soft_prefix_bias_1,numeric_exact_match,871,4,2,0.6875,-0.002296211251435132,-0.008036739380022962,0.003444316877152698
baseline,soft_prefix_bias_1,unsupported_complete_answer,871,39,28,0.22154872964481104,-0.012629161882893225,-0.03102755453501722,0.0057405281285878304
baseline,soft_prefix_bias_10,numeric_exact_match,871,4,4,1.0,0.0,-0.005769230769230768,0.006888633754305396
baseline,soft_prefix_bias_10,unsupported_complete_answer,871,46,1,6.821210263296962e-13,-0.05166475315729047,-0.0677382319173364,-0.03673938002296211
baseline,soft_prefix_bias_3,numeric_exact_match,871,5,4,1.0,-0.001148105625717566,-0.008036739380022962,0.0057405281285878304
baseline,soft_prefix_bias_3,unsupported_complete_answer,871,45,20,0.0026263768106840374,-0.02870264064293915,-0.04707233065442021,-0.011481056257175661
baseline,soft_prefix_bias_5,numeric_exact_match,871,4,4,1.0,0.0,-0.005769230769230768,0.006888633754305396
baseline,soft_prefix_bias_5,unsupported_complete_answer,871,44,11,8.699371704778969e-06,-0.03788748564867968,-0.0539609644087256,-0.02066590126291619
